COMMUNITY_ABRV,COMMUNITY_FULL,TOTAL_POP,GLOBALID,Shape_Length,Shape_Area,DA_AREA_m2
COA,COACH HILL,3275,2b5e0006-793f-4302-b8a6-1a905d5e7559,4845.261111,1073288.922,1073288.922
VAL,VALLEY RIDGE,5365,8355fce5-dcb0-4e95-9acc-e868cd97a022,8343.098016,3261932.486,3261932.486
MOP,MOUNT PLEASANT,6325,52c5bed7-f3c2-486f-ad9f-96c741b2bb9c,6022.116559,1874576.049,1874576.049
VAR,VARSITY,12040,9fb855d5-05ca-4fdd-8526-449cb2825e33,11817.87471,6812863.227,6812863.227
HAM,HAMPTONS,7360,4803b866-6927-4aad-9f9b-0038eb07b6c0,8285.742949,3502975.284,3502975.284
DAL,DALHOUSIE,8530,9e33fe9d-5cf4-4bca-95ea-d48d978f8c58,7602.143197,3344827.115,3344827.115
SIG,SIGNAL HILL,13000,786c3656-783c-47ff-aa01-f226eb9f73ce,10241.25806,5310463.226,5310463.226
MPL,MAPLE RIDGE,1830,146f5965-3677-49d0-b8c6-c530e4dc35df,7680.355442,2696000.059,2696000.059
PAT,PATTERSON,4145,a37d6a8d-028e-4057-9cf3-afbedbde2996,7827.345788,2046305.972,2046305.972
OAK,OAKRIDGE,5620,cfa0afcf-a4f0-43a5-990e-f421c840e2af,6216.663094,2373557.861,2373557.861
BYV,BAYVIEW,670,208ef553-59ff-493e-aba3-32600e385af2,4299.19639,424010.946,424010.946
NHU,NORTH HAVEN UPPER,640,67f20ebc-265d-455b-bb15-27d43895d86f,2419.173331,269216.3053,269216.3053
CHR,CHRISTIE PARK,1880,9492c459-8b0e-48d8-96d0-0dff46c47a2b,4691.795908,819464.0726,819464.0726
BNK,BANKVIEW,5125,68c1ec42-f2e7-402a-8a21-91feaf937dc8,3420.435815,686761.0083,686761.0083
EAU,EAU CLAIRE,1875,f5e071f1-e5ba-4991-9eec-1faf7f6c1a52,3223.566178,516267.2737,516267.2737
PKL,PARKLAND,3430,838cde0c-6a94-4158-ae4e-76d1ed6368a5,7070.82133,1889034.569,1889034.569
WOO,WOODLANDS,5830,b95c8ae5-445a-4900-aaf3-441dcb31792e,8341.617086,2805113.196,2805113.196
RID,RIDEAU PARK,675,c3d4aea8-a396-4364-9931-d2e0e32c5e61,2281.836446,267188.285,267188.285
FPK,FISH CREEK PARK,430,6cd24bf9-0370-4040-a400-682febf362e5,52274.76859,15245845.1,15245845.1
DOV,DOVER,10795,a27368ed-124f-4879-baca-6e64c65fa747,9250.695147,4153213.388,4153213.388
SOM,SOMERSET,8320,1f7af3b0-f92e-4ef6-b8fd-289f87ae9843,6644.844438,2187954.143,2187954.143
SGH,SAGE HILL,9345,17e5ea6b-649e-420e-b63d-edf57844492e,8377.921362,3723215.044,3723215.044
HPK,HIGHLAND PARK,4105,01d4c74a-8369-4393-a217-5d4341fc90f0,6644.92422,1368669.547,1368669.547
PKD,PARKDALE,2300,42d0ec3b-fbd5-487a-8518-2fa1e0db74f0,5250.543355,1051789.141,1051789.141
POI,POINT MCKAY,1330,b261842f-8b10-41f0-af81-1c773c747c9a,2502.528233,383333.3286,383333.3286
SCA,SCARBORO,1010,87849622-ba85-4456-885b-430621966fa3,3088.656179,456045.9896,456045.9896
SPR,SPRUCE CLIFF,4195,a2482ea1-716f-465b-9493-6b5dac5b3ea1,4662.504538,1074569.817,1074569.817
AUB,AUBURN BAY,18090,e5c84a3a-b570-4555-a558-f4542772d912,8386.576988,4526264.234,4526264.234
ROC,ROCKY RIDGE,8195,2767cd1c-78fd-435d-8385-772226b74f8b,6981.81352,2736951.824,2736951.824
MCT,MCKENZIE TOWNE,17505,897a2cde-7af1-4396-ac20-b5ba2f54d5d8,10010.90026,4826450.281,4826450.281
MEA,MEADOWLARK PARK,610,35f27d38-0368-4d26-81b1-259e5c4674e9,3148.083311,633331.2293,633331.2293
SVO,SILVERADO,7975,a1ab01da-d194-4a4c-806a-fe9632783e06,10429.67836,5959792.236,5959792.236
SOC,SOUTH CALGARY,4540,8e6e5058-7e89-4b96-8169-e5165f1be6b2,4866.46458,888043.9274,888043.9274
PAL,PALLISER,3285,53e94797-3fdb-4f09-a236-e7fa732eb236,4047.618511,987945.5324,987945.5324
ABB,ABBEYDALE,5925,2c66fb5e-9c01-4ad9-9b91-41a0cabac5ad,5798.336547,1701674.738,1701674.738
BRE,BRENTWOOD,7410,e0205c22-b815-42b0-9051-028c0f6d1cf5,8009.189619,2893342.437,2893342.437
DNE,DOWNTOWN EAST VILLAGE,3140,7feac844-f95f-4589-9315-a49fc3784769,3538.398401,522283.6291,522283.6291
RDL,ROSEDALE,1495,97add142-73af-4244-b59d-3c3ed522ad28,3740.029163,661882.989,661882.989
KCA,KINCORA,7030,32014170-311d-406b-be04-94c76a7a8398,7020.397232,2271864.887,2271864.887
HAW,HAWKWOOD,9115,a62e3f4f-94c0-4dcd-9e83-b9c0ab0a0212,7384.008523,3208972.882,3208972.882
WHL,WEST HILLHURST,6635,4b6b0114-90fe-4a88-9d04-aa58bfb1f709,7106.440274,2359598.459,2359598.459
BEL,BEL-AIRE,400,4b0b566c-2ae5-493e-bf92-bd26ad949caf,2580.074973,337186.609,337186.609
EVE,EVERGREEN,20780,ad6a20f7-1ddc-44fc-b9eb-4d54ba06f2ca,12444.34461,4907132.626,4907132.626
BDO,BONAVISTA DOWNS,830,2c011c53-01b8-4c06-aa26-a47015442980,3689.039102,571082.796,571082.796
HAR,HARVEST HILLS,7805,9c671884-4658-45c6-af3b-8285ff6985a6,6362.109191,2179869.418,2179869.418
GDL,GLENDALE,2715,d6e5d5eb-b443-4339-af4d-866cd07ec631,5283.602376,1369718.419,1369718.419
ASP,ASPEN WOODS,9435,6e95e542-ef9c-4185-82f8-5d8f134b40e7,9154.467425,3993137.499,3993137.499
SNA,SUNALTA,3090,e6f5194b-abd4-4930-9baf-12ccb822e4e3,4699.665472,937397.3096,937397.3096
ARB,ARBOUR LAKE,10335,fcfe3f90-5eb3-4116-bbad-61ccf51c3d66,8784.250631,4394364.956,4394364.956
CSC,CITYSCAPE,5085,752d6eae-698d-4f17-917f-819a7dad768a,6495.649592,2309729.276,2309729.276
ALT,ALTADORE,7290,b6e4b484-0785-4d07-8cf6-e03784f42c00,7992.937803,2131759.718,2131759.718
THO,THORNCLIFFE,8695,cf7520b8-ae92-4e3f-8b4c-93eed85dd2b9,8232.745653,3270624.344,3270624.344
MON,MONTGOMERY,4175,cb4aa81b-f076-4355-ac19-74fcf6fc4932,7364.692243,2954015.276,2954015.276
SET,SETON,3590,0854c377-8cae-466c-88d5-5217a950821c,8568.98516,4561784.479,4561784.479
UND,UNIVERSITY DISTRICT,960,da5d303a-d2b0-4d0c-af9a-2f067bacfca4,5196.52621,1153679.815,1153679.815
CAP,CAPITOL HILL,4670,b03bb9f9-4555-418d-a318-2d5677d60c85,6617.675343,1414812.375,1414812.375
APP,APPLEWOOD PARK,6830,312d3a18-5113-4665-9d5a-f8e5645bea0a,5587.576169,1554218.311,1554218.311
SOV,SOUTHVIEW,1550,04d80da4-9aae-4568-9e8c-0356c8f7daec,5836.688774,1593189.387,1593189.387
MOR,MONTEREY PARK,10475,6f236bba-3cd8-47a8-99c9-6a243f6224d9,8686.001194,3447878.481,3447878.481
WSP,WEST SPRINGS,11560,aff8fc6f-b906-447b-a720-59ee2dc29762,8438.734713,4176696.49,4176696.49
RIC,RICHMOND,5250,d0538f0d-acf5-4bbb-a52e-efde717dcde8,6797.796778,1906447.277,1906447.277
DDG,DOUGLASDALE/GLEN,12920,d1aaa88d-c6e8-41c1-9702-3262505233aa,13000.82641,6442580.692,6442580.692
NEB,NEW BRIGHTON,12885,d95d2897-cc7a-4ad0-b6e8-c3a1d2d2cb83,6799.62778,2847916.231,2847916.231
STA,ST. ANDREWS HEIGHTS,1345,be84e1fe-8f20-41a5-97b5-cc736d4db2e0,4934.936832,1160324.712,1160324.712
DRN,DEER RUN,4910,14841808-6ed8-4c4f-a986-fa7394abf507,10460.25915,1919977.592,1919977.592
CNS,CORNERSTONE,6190,ee2ea1b3-90a5-4940-9d34-9fa59157cae8,12097.50157,7646112.054,7646112.054
FAL,FALCONRIDGE,10325,587dfa04-a8d1-488e-9108-c1b7b67bbf94,6001.620099,2157459.071,2157459.071
CHV,COUNTRY HILLS VILLAGE,2480,0a036aad-d8b6-477e-983b-5eaabd50c1ae,4009.098354,952440.6808,952440.6808
HAY,HAYSBORO,6960,3d3d7a51-19ad-4bb4-961b-bd1206d73a99,6546.067156,2671053.823,2671053.823
GAG,GARRISON GREEN,1680,c686063a-575b-4039-96f6-a7397200edcc,2849.061015,360612.4455,360612.4455
SHG,SHAGANAPPI,1765,24b4e30e-7460-42c9-af1a-b48ff3b737bc,5742.162167,1481558.245,1481558.245
LKV,LAKEVIEW,5640,3541f715-ddd4-4aa4-b04f-6031705b433a,6779.77363,2211894.137,2211894.137
PCK,PINE CREEK,245,0affd17d-5c29-41c2-988c-63ec979ff7ad,10092.61168,2475463.283,2475463.283
GBK,GLENBROOK,7240,77963355-4db6-4d72-8f48-c3502d795dd1,6006.37637,1961417.847,1961417.847
EYA,ELBOYA,1835,06ed4045-ae62-4864-960a-6df5a4128fe9,3908.330359,722002.3528,722002.3528
COL,COLLINGWOOD,2290,87be847f-4229-4861-a8f8-75a383aeb79e,5589.127993,1562521.981,1562521.981
LKB,LAKE BONAVISTA,10145,f07959ef-953b-4843-98e8-0a0250ebbfcb,9568.808879,5263832.34,5263832.34
MLR,MILLRISE,6655,76870018-1b36-4c88-a825-d252b0493603,5913.12518,1782972.581,1782972.581
MAH,MAHOGANY,13860,718b6af0-5a32-4848-a2ca-7d975cf9fc39,10067.04669,6302705.874,6302705.874
EPK,ELBOW PARK,3285,1e44aa6d-e194-4390-9cd6-9a5c4f0028f0,7285.581318,1790822.909,1790822.909
ACA,ACADIA,9915,7a3f8b5f-ef65-4ddc-909d-05f9b7ba894f,9134.166352,3901999.018,3901999.018
ING,INGLEWOOD,4130,591d51a8-fd09-4cc1-bf61-a8db464c1cb1,9681.150081,2501889.09,2501889.09
SIL,SILVER SPRINGS,8570,e9f4f5f2-e374-4d9f-8c69-8f00ad91ba5b,10078.17029,5017629.726,5017629.726
DRG,DEER RIDGE,3795,36396be3-1039-465b-b3c8-e01be741c32c,4896.869676,1417399.067,1417399.067
ALB,ALBERT PARK/RADISSON HEIGHTS,6740,5d6d7d71-f9f1-494f-9592-68bf11941090,8231.202363,2508755.393,2508755.393
LEG,LEGACY,8000,10256337-b951-4d9e-869d-4f1ec91ffc3b,11438.06914,5971872.158,5971872.158
GRV,GREENVIEW,2100,ac873fb4-dde1-4725-9c7f-a3054529a305,3912.997049,454296.7984,454296.7984
